Province,Year,Quarter,Crop,AFF GDP Q_n-1,AFF GDP Q_n-2,AFF GDP Q_n-3,AFF GDP Q_n-4,AFF GDP Q_n-5,NINO3.4 SST Q_n-1,NINO3.4 SST Q_n-2,NINO3.4 SST Q_n-3,NINO3.4 SST Q_n-4,NINO3.4 SST Q_n-5,Area Harvested Q_n,Area Harvested Q_n-1,Area Harvested Q_n-2,Area Harvested Q_n-3,Area Harvested Q_n-4,Area Harvested Q_n-5,PALAY YIELD Q_n
-1.699024637349878,-1.8345479050460225,-0.4387317514657632,-0.7754118072538541,-1.3838994538637814,-1.3464619786906764,-1.4329763485690776,-1.3511094344105654,-1.3606137899359623,0.1468934320671904,0.6675464538635597,1.3183382062097244,1.464150400644578,0.8251349704202104,-0.41982292456998455,-0.5641912325170139,-0.22468437985568465,-0.6135976868516154,-0.3691142535871451,-0.6082982565581971,-0.41772275393806246
-1.699024637349878,-1.8345479050460225,0.4519608831942951,-0.7754118072538541,-1.3452126862627403,-1.386455490737246,-1.3295904260622784,-1.4183227602902617,-1.3400354859261885,-0.457925099466233,0.16264180675950818,0.6800709549388134,1.3329135507726737,1.4568960660699408,-0.5767481563954517,-0.42126827718397986,-0.5615748939384633,-0.2217609396679035,-0.615868264525829,-0.3689997434850392,-0.5032156644297044
-1.699024637349878,-1.8345479050460225,1.3426535178543535,-0.7754118072538541,-1.4037291570243537,-1.3467990170676387,-1.3697453456905595,-1.3145743337971962,-1.4079212627396975,-1.5495487905265555,-0.45072383861134074,0.17321166716485534,0.6954774228234458,1.3260579693377434,-0.30511615612903387,-0.5785633732767603,-0.41833640932844574,-0.5591091412309765,-0.2228301168091632,-0.6163554455505594,-0.36929217545414855
-1.192708646766454,-1.8345479050460225,-0.4387317514657632,-0.7754118072538541,-1.3838994538637814,-1.3464619786906764,-1.4329763485690776,-1.3511094344105654,-1.3606137899359623,0.1468934320671904,0.6675464538635597,1.3183382062097244,1.464150400644578,0.8251349704202104,-0.5353262677917752,-0.6184859864982781,-0.5439701639863941,-0.5206466384399373,-0.5539788220428365,-0.6219954778452129,-0.48981407305533897
-1.192708646766454,-1.8345479050460225,0.4519608831942951,-0.7754118072538541,-1.3452126862627403,-1.386455490737246,-1.3295904260622784,-1.4183227602902617,-1.3400354859261885,-0.457925099466233,0.16264180675950818,0.6800709549388134,1.3329135507726737,1.4568960660699408,-0.5409022912576547,-0.5370438555263817,-0.6159895137903134,-0.5414804941184169,-0.5226322213046976,-0.5543150903093703,-0.4899619526842975
-1.192708646766454,-1.8345479050460225,1.3426535178543535,-0.7754118072538541,-1.4037291570243537,-1.3467990170676387,-1.3697453456905595,-1.3145743337971962,-1.4079212627396975,-1.5495487905265555,-0.45072383861134074,0.17321166716485534,0.6954774228234458,1.3260579693377434,-0.5329365434492553,-0.5426330213773942,-0.5343675840125381,-0.6135976868516154,-0.5435299551301236,-0.5228920532391577,-0.4835846436854615
-0.22226966481489177,-1.8345479050460225,-0.4387317514657632,-0.7754118072538541,-1.3838994538637814,-1.3464619786906764,-1.4329763485690776,-1.3511094344105654,-1.3606137899359623,0.1468934320671904,0.6675464538635597,1.3183382062097244,1.464150400644578,0.8251349704202104,-0.364859264692029,-0.43084970435714415,-0.4063331843611258,-0.5478909112502567,-0.21640004486287828,-0.5543150903093703,-0.3941729230264188
-0.22226966481489177,-1.8345479050460225,0.4519608831942951,-0.7754118072538541,-1.3452126862627403,-1.386455490737246,-1.3295904260622784,-1.4183227602902617,-1.3400354859261885,-0.457925099466233,0.16264180675950818,0.6800709549388134,1.3329135507726737,1.4568960660699408,-0.5584269364361333,-0.36617507093828516,-0.4279389893023017,-0.40365652578385974,-0.5499600270764086,-0.21591315263015706,-0.4753218694174044
-0.22226966481489177,-1.8345479050460225,1.3426535178543535,-0.7754118072538541,-1.4037291570243537,-1.3467990170676387,-1.3697453456905595,-1.3145743337971962,-1.4079212627396975,-1.5495487905265555,-0.45072383861134074,0.17321166716485534,0.6954774228234458,1.3260579693377434,-0.43973729409098294,-0.5601989711948621,-0.3631215744787742,-0.4252916836038193,-0.4052834082849978,-0.5502864958131892,-0.3673697402776878
-0.01130466873846516,-1.8345479050460225,-0.4387317514657632,-0.7754118072538541,-1.3838994538637814,-1.3464619786906764,-1.4329763485690776,-1.3511094344105654,-1.3606137899359623,0.1468934320671904,0.6675464538635597,1.3183382062097244,1.464150400644578,0.8251349704202104,0.21664032532112362,-0.27195770373550293,0.41628783339919806,-0.47657502065853824,0.09947723949836842,-0.4995262051613072,0.1850346136968482
-0.01130466873846516,-1.8345479050460225,0.4519608831942951,-0.7754118072538541,-1.3452126862627403,-1.386455490737246,-1.3295904260622784,-1.4183227602902617,-1.3400354859261885,-0.457925099466233,0.16264180675950818,0.6800709549388134,1.3329135507726737,1.4568960660699408,-0.3847736342130274,0.21669508209587593,-0.26869620473585765,0.42008207565756317,-0.47842547667398877,0.10073437476967817,-0.35603846370874154
-0.01130466873846516,-1.8345479050460225,1.3426535178543535,-0.7754118072538541,-1.4037291570243537,-1.3467990170676387,-1.3697453456905595,-1.3145743337971962,-1.4079212627396975,-1.5495487905265555,-0.45072383861134074,0.17321166716485534,0.6954774228234458,1.3260579693377434,0.18876020799172588,-0.3861363775490441,0.22103537393079434,-0.2658325574493026,0.42098083681261445,-0.4785775137811654,0.10503173443029112
0.45281832262967336,-1.8345479050460225,-0.4387317514657632,-0.7754118072538541,-1.3838994538637814,-1.3464619786906764,-1.4329763485690776,-1.3511094344105654,-1.3606137899359623,0.1468934320671904,0.6675464538635597,1.3183382062097244,1.464150400644578,0.8251349704202104,-0.4341612706251034,-0.5210748102377746,-0.5087607040822557,-0.39404090008609993,-0.4036758902984266,-0.6026582242635437,-0.43454406173209364
0.45281832262967336,-1.8345479050460225,0.4519608831942951,-0.7754118072538541,-1.3452126862627403,-1.386455490737246,-1.3295904260622784,-1.4183227602902617,-1.3400354859261885,-0.457925099466233,0.16264180675950818,0.6800709549388134,1.3329135507726737,1.4568960660699408,-0.37043528815790855,-0.43564041794372627,-0.5183632840561115,-0.5062231998932976,-0.3956383003655704,-0.4036456561521968,-0.4127503014143324
0.45281832262967336,-1.8345479050460225,1.3426535178543535,-0.7754118072538541,-1.4037291570243537,-1.3467990170676387,-1.3697453456905595,-1.3145743337971962,-1.4079212627396975,-1.5495487905265555,-0.45072383861134074,0.17321166716485534,0.6954774228234458,1.3260579693377434,-0.5416988660384946,-0.37176423678929765,-0.4327402792892296,-0.5158388255910574,-0.5081645594255565,-0.3955884671598346,-0.48704133001236677
-0.18007666559960644,-1.8345479050460225,-0.4387317514657632,-0.7754118072538541,-1.3838994538637814,-1.3464619786906764,-1.4329763485690776,-1.3511094344105654,-1.3606137899359623,0.1468934320671904,0.6675464538635597,1.3183382062097244,1.464150400644578,0.8251349704202104,-0.2079340328665618,-0.31746948280803333,0.7755843674209738,-0.5703273712116963,-0.38197439747971496,-0.23363896841335394,-0.2541309144027043
-0.18007666559960644,-1.8345479050460225,0.4519608831942951,-0.7754118072538541,-1.3452126862627403,-1.386455490737246,-1.3295904260622784,-1.4183227602902617,-1.3400354859261885,-0.457925099466233,0.16264180675950818,0.6800709549388134,1.3329135507726737,1.4568960660699408,-0.5385125669151349,-0.2088799748455047,-0.31430845961167325,0.7798667371820757,-0.5724652788884057,-0.3818912458728188,-0.4692033497692458
-0.18007666559960644,-1.8345479050460225,1.3426535178543535,-0.7754118072538541,-1.4037291570243537,-1.3467990170676387,-1.3697453456905595,-1.3145743337971962,-1.4079212627396975,-1.5495487905265555,-0.45072383861134074,0.17321166716485534,0.6954774228234458,1.3260579693377434,0.9136432585560669,-0.5402376645841032,-0.20547921990797283,-0.3115067795136616,0.7818686247978556,-0.5728466249918034,0.4511070361004579
0.030888330476820162,-1.8345479050460225,-0.4387317514657632,-0.7754118072538541,-1.3838994538637814,-1.3464619786906764,-1.4329763485690776,-1.3511094344105654,-1.3606137899359623,0.1468934320671904,0.6675464538635597,1.3183382062097244,1.464150400644578,0.8251349704202104,-0.3680455638153888,-0.3781518549047405,0.028183559455854598,-0.6184054997004953,-0.26944813841972887,-0.3673883056865668,-0.3672958004632086
0.030888330476820162,-1.8345479050460225,0.4519608831942951,-0.7754118072538541,-1.3452126862627403,-1.386455490737246,-1.3295904260622784,-1.4183227602902617,-1.3400354859261885,-0.457925099466233,0.16264180675950818,0.6800709549388134,1.3329135507726737,1.4568960660699408,-0.6181700449991284,-0.3693688799960066,-0.3751247994460941,0.031450537039771236,-0.6206908184855426,-0.2690905999797477,-0.5153787639115424
0.030888330476820162,-1.8345479050460225,1.3426535178543535,-0.7754118072538541,-1.4037291570243537,-1.3467990170676387,-1.3697453456905595,-1.3145743337971962,-1.4079212627396975,-1.5495487905265555,-0.45072383861134074,0.17321166716485534,0.6954774228234458,1.3260579693377434,0.16565953934736777,-0.6200828910271389,-0.3663224344700595,-0.37240574226614037,0.031157725069091143,-0.6211897589459767,0.036766800712316236
