Province,Year,Quarter,Crop,AFF GDP Q_n-1,AFF GDP Q_n-2,AFF GDP Q_n-3,AFF GDP Q_n-4,NINO3.4 SST Q_n-1,NINO3.4 SST Q_n-2,NINO3.4 SST Q_n-3,NINO3.4 SST Q_n-4,Area Harvested Q_n,Area Harvested Q_n-1,Area Harvested Q_n-2,Area Harvested Q_n-3,Area Harvested Q_n-4,PALAY YIELD Q_n
-1.7017256802817318,-1.8028555145144245,-1.3243370064840594,-0.7834535391598402,-1.3279010807370846,-1.4306182823536329,-1.3495198930349988,-1.3541922037613143,0.6424024371650934,1.2945188824300586,1.4382930672489063,0.8307359894183567,-0.5620005423989306,-0.22427952305539495,-0.6125878278344952,-0.3641356717527303,-0.6069819152227682,-0.49498713982406195
-1.7017256802817318,-1.8028555145144245,-0.4359763408214319,-0.7834535391598402,-1.3668292476994646,-1.3279668489224288,-1.4163139209108428,-1.3338774783451095,0.1430145830394673,0.6598965994405855,1.3077216207336593,1.4643477572853743,-0.41871483743396,-0.5604936072405452,-0.21892226602576523,-0.6115710388206045,-0.3670663612629461,-0.4158759040137655
-1.7017256802817318,-1.8028555145144245,0.4523843248411957,-0.7834535391598402,-1.3282291411033724,-1.3678364942204797,-1.313212709944787,-1.4008937356118518,-0.4636491804909241,0.155931845301887,0.6735174519453396,1.3331263852419042,-0.5764091607752962,-0.41754272584115826,-0.5578449685236697,-0.2174476039795932,-0.6150598800025603,-0.5019472908927637
-1.7017256802817318,-1.8028555145144245,1.3407449905038231,-0.7834535391598402,-1.38661453096894,-1.3283028434338808,-1.3532570480861636,-1.29744949818007,-1.5586032902774813,-0.4562920041703109,0.16988472967226273,0.6957654353165015,-0.303445890423034,-0.5748685562080813,-0.4137424418084087,-0.5567645080042675,-0.22004740227073186,-0.3671176264736628
-1.194935521530293,-1.8028555145144245,-1.3243370064840594,-0.7834535391598402,-1.3279010807370846,-1.4306182823536329,-1.3495198930349988,-1.3541922037613143,0.6424024371650934,1.2945188824300586,1.4382930672489063,0.8307359894183567,-0.6164331007096456,-0.5429242251691122,-0.5192029501866164,-0.5495107024550464,-0.6207144553484146,-0.5174866656049719
-1.194935521530293,-1.8028555145144245,-0.4359763408214319,-0.7834535391598402,-1.3668292476994646,-1.3279668489224288,-1.4163139209108428,-1.3338774783451095,0.1430145830394673,0.6598965994405855,1.3077216207336593,1.4643477572853743,-0.534784263243573,-0.6147989700067927,-0.5401340434525204,-0.5180775450750885,-0.5528595511981619,-0.48845501943605585
-1.194935521530293,-1.8028555145144245,0.4523843248411957,-0.7834535391598402,-1.3282291411033724,-1.3678364942204797,-1.313212709944787,-1.4008937356118518,-0.4636491804909241,0.155931845301887,0.6735174519453396,1.3331263852419042,-0.5403876148343819,-0.5333409258574214,-0.6125878278344952,-0.5390329833283938,-0.5213554885569731,-0.48860389967281953
-1.194935521530293,-1.8028555145144245,1.3407449905038231,-0.7834535391598402,-1.38661453096894,-1.3283028434338808,-1.3532570480861636,-1.29744949818007,-1.5586032902774813,-0.4562920041703109,0.16988472967226273,0.6957654353165015,-0.532382826847512,-0.538931183789241,-0.530473538868257,-0.6115710388206045,-0.5423581969844323,-0.4821834394623861
-0.2235877172567022,-1.8028555145144245,-1.3243370064840594,-0.7834535391598402,-1.3279010807370846,-1.4306182823536329,-1.3495198930349988,-1.3541922037613143,0.6424024371650934,1.2945188824300586,1.4382930672489063,0.8307359894183567,-0.42832058301820386,-0.4055636017015448,-0.5465743798420292,-0.21099977682473003,-0.5528595511981619,-0.3490658977660675
-0.2235877172567022,-1.8028555145144245,-0.4359763408214319,-0.7834535391598402,-1.3668292476994646,-1.3279668489224288,-1.4163139209108428,-1.3338774783451095,0.1430145830394673,0.6598965994405855,1.3077216207336593,1.4643477572853743,-0.36348180032455796,-0.42712602515284903,-0.40166681107807956,-0.5454808104832569,-0.21358503044689825,-0.39216672630915067
-0.2235877172567022,-1.8028555145144245,0.4523843248411957,-0.7834535391598402,-1.3282291411033724,-1.3678364942204797,-1.313212709944787,-1.4008937356118518,-0.4636491804909241,0.155931845301887,0.6735174519453396,1.3331263852419042,-0.5579981484054957,-0.3624387547989365,-0.42340294639267195,-0.40040469949883567,-0.5488205688082659,-0.47386475623321594
-0.2235877172567022,-1.8028555145144245,1.3407449905038231,-0.7834535391598402,-1.38661453096894,-1.3283028434338808,-1.3532570480861636,-1.29744949818007,-1.5586032902774813,-0.4562920041703109,0.16988472967226273,0.6957654353165015,-0.4387268074011347,-0.5565005658606741,-0.35819454044889465,-0.42216611614649885,-0.4034172027720101,-0.36518218339573505
